image_id,llava_med_head,clip_probe_head
ISIC_0000000,a0,a2
ISIC_0000001,a1,a0
ISIC_0000014,a0,a0
ISIC_0000015,a0,a2
ISIC_0000017_downsampled,a3,a0
ISIC_0000024_downsampled,a0,a0
ISIC_0000041_downsampled,a0,a0
ISIC_0000058_downsampled,a0,a0
ISIC_0000060_downsampled,a2,a0
ISIC_0000071,a1,a0
ISIC_0000078_downsampled,a0,a1
ISIC_0000080_downsampled,a0,a0
ISIC_0000101_downsampled,a0,a0
ISIC_0000103_downsampled,a3,a0
ISIC_0000107_downsampled,a0,a0
ISIC_0000108_downsampled,a1,a0
ISIC_0000111_downsampled,a0,a0
ISIC_0000115_downsampled,a1,a0
ISIC_0000123_downsampled,a1,a0
ISIC_0000128_downsampled,a0,a0
ISIC_0000135_downsampled,a0,a0
ISIC_0000145_downsampled,a1,a0
ISIC_0000154_downsampled,a0,a1
ISIC_0000157,a1,a2
ISIC_0000159,a0,a0
ISIC_0000182_downsampled,a0,a0
ISIC_0000185_downsampled,a0,a0
ISIC_0000190,a0,a0
ISIC_0000197_downsampled,a1,a0
ISIC_0000200,a0,a0
ISIC_0000207_downsampled,a0,a2
ISIC_0000213,a0,a0
ISIC_0000220,a1,a0
ISIC_0000223,a0,a0
ISIC_0000225,a2,a0
ISIC_0000228,a0,a0
ISIC_0000230,a1,a0
ISIC_0000253,a0,a0
ISIC_0000256,a0,a0
ISIC_0000268,a0,a0
ISIC_0000271,a0,a0
ISIC_0000274,a0,a2
ISIC_0000281,a0,a3
ISIC_0000288,a0,a3
ISIC_0000290,a0,a2
ISIC_0000300,a2,a0
ISIC_0000302,a0,a3
ISIC_0000306,a0,a0
ISIC_0000319,a0,a0
ISIC_0000322,a0,a0
ISIC_0000329,a0,a0
ISIC_0000336,a0,a0
ISIC_0000337,a0,a0
ISIC_0000338,a0,a0
ISIC_0000346,a3,a0
ISIC_0000353,a0,a0
ISIC_0000354,a1,a0
ISIC_0000355,a0,a0
ISIC_0000357,a1,a0
ISIC_0000360,a2,a0
ISIC_0000366,a0,a0
ISIC_0000372,a0,a0
ISIC_0000377_downsampled,a0,a2
ISIC_0000396_downsampled,a0,a1
ISIC_0000433_downsampled,a0,a1
ISIC_0000449_downsampled,a0,a0
ISIC_0000471,a0,a0
ISIC_0000477,a0,a0
ISIC_0000479,a0,a0
ISIC_0000481,a0,a1
ISIC_0000487,a0,a1
ISIC_0000493,a0,a0
ISIC_0000500,a3,a0
ISIC_0000505,a0,a3
ISIC_0000509,a0,a0
ISIC_0000514,a0,a0
ISIC_0000517,a0,a0
ISIC_0000520_downsampled,a1,a2
ISIC_0000528,a0,a0
ISIC_0000536,a0,a0
ISIC_0000543,a0,a0
ISIC_0000547,a0,a2
ISIC_0000551,a3,a3
ISIC_0001100_downsampled,a0,a3
ISIC_0001103_downsampled,a0,a2
ISIC_0001105_downsampled,a0,a0
ISIC_0001216_downsampled,a0,a0
ISIC_0001242_downsampled,a1,a0
ISIC_0001262_downsampled,a0,a0
ISIC_0001296_downsampled,a0,a0
ISIC_0001852_downsampled,a0,a0
ISIC_0001871_downsampled,a0,a0
