exact_group_id,component_id,component_size,component_crosses_split,threshold,exact_hash_duplicate,image_id,split,site_id,site_profile,risk_stratum,image_hash,image_path
EXACT_PHASH_000001,PHASH_000248,2,False,4,True,ISIC_0053812,train,SYN_RURAL_like,RURAL_like,high,010b1b13b9bbfe51,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0053812.jpg
EXACT_PHASH_000001,PHASH_000248,2,False,4,True,ISIC_0071101,train,SYN_RURAL_like,RURAL_like,high,010b1b13b9bbfe51,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0071101.jpg
EXACT_PHASH_000002,PHASH_000259,2,False,4,True,ISIC_0054113,test,SYN_BCN_like,BCN_like,moderate,022cf1598a877df5,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0054113.jpg
EXACT_PHASH_000002,PHASH_000259,2,False,4,True,ISIC_0070345,test,SYN_BCN_like,BCN_like,moderate,022cf1598a877df5,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0070345.jpg
EXACT_PHASH_000003,PHASH_000260,2,False,4,True,ISIC_0054118,test,SYN_RURAL_like,RURAL_like,moderate,07be6cf4ac521aa9,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0054118.jpg
EXACT_PHASH_000003,PHASH_000260,2,False,4,True,ISIC_0056756,test,SYN_RURAL_like,RURAL_like,moderate,07be6cf4ac521aa9,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0056756.jpg
EXACT_PHASH_000004,PHASH_000365,2,False,4,True,ISIC_0057477,test,SYN_RURAL_like,RURAL_like,moderate,08bc03f4e752dcab,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0057477.jpg
EXACT_PHASH_000004,PHASH_000365,2,False,4,True,ISIC_0061307,test,SYN_RURAL_like,RURAL_like,moderate,08bc03f4e752dcab,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0061307.jpg
EXACT_PHASH_000005,PHASH_000479,2,False,4,True,ISIC_0062361,test,SYN_RURAL_like,RURAL_like,low,0af2acc8d229ae3f,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0062361.jpg
EXACT_PHASH_000005,PHASH_000479,2,False,4,True,ISIC_0069849,test,SYN_RURAL_like,RURAL_like,low,0af2acc8d229ae3f,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0069849.jpg
EXACT_PHASH_000006,PHASH_000011,14,True,4,True,ISIC_0066965,test,SYN_RURAL_like,RURAL_like,moderate,0cbc2ef4bc50d4ab,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0066965.jpg
EXACT_PHASH_000006,PHASH_000011,14,True,4,True,ISIC_0070154,test,SYN_HAM_like,HAM_like,moderate,0cbc2ef4bc50d4ab,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0070154.jpg
EXACT_PHASH_000007,PHASH_000287,2,False,4,True,ISIC_0054911,test,SYN_RURAL_like,RURAL_like,low,116cd60b2cb3374f,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0054911.jpg
EXACT_PHASH_000007,PHASH_000287,2,False,4,True,ISIC_0062368,test,SYN_RURAL_like,RURAL_like,low,116cd60b2cb3374f,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0062368.jpg
EXACT_PHASH_000008,PHASH_000386,2,False,4,True,ISIC_0058534,test,SYN_RURAL_like,RURAL_like,very_low,123649f1ad03d6d7,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0058534.jpg
EXACT_PHASH_000008,PHASH_000386,2,False,4,True,ISIC_0065290,test,SYN_RURAL_like,RURAL_like,very_low,123649f1ad03d6d7,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0065290.jpg
EXACT_PHASH_000009,PHASH_000484,2,False,4,True,ISIC_0062648,val,SYN_RURAL_like,RURAL_like,very_low,14d8ce25d62399f5,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0062648.jpg
EXACT_PHASH_000009,PHASH_000484,2,False,4,True,ISIC_0063402,val,SYN_RURAL_like,RURAL_like,very_low,14d8ce25d62399f5,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0063402.jpg
EXACT_PHASH_000010,PHASH_000468,2,False,4,True,ISIC_0061902,val,SYN_RURAL_like,RURAL_like,low,1b2b53aece32b189,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0061902.jpg
EXACT_PHASH_000010,PHASH_000468,2,False,4,True,ISIC_0069588,val,SYN_RURAL_like,RURAL_like,low,1b2b53aece32b189,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0069588.jpg
EXACT_PHASH_000011,PHASH_000266,2,False,4,True,ISIC_0054334,val,SYN_BCN_like,BCN_like,high,1bbcc3de38526389,data/raw/isic2019/ISIC_2019_Training_Input/ISIC_0054334.jpg
