image_id,lesion_id,cluster_id,split
ISIC_0000000,,cluster:d70b2c24611556a45d24,test
ISIC_0000001,,cluster:ec1971795663ddaf67d3,test
ISIC_0000002,,cluster:4fcfe7bee35ab7e4aa47,train
ISIC_0000003,,cluster:2a1ae088aec855e69a2b,train
ISIC_0000004,,cluster:2bc19ce0b7aaa29a85f3,val
ISIC_0000006,,cluster:177bc8ba16eee3cbec37,train
ISIC_0000007,,cluster:4eddfd82f02f6db4f384,train
ISIC_0000008,,cluster:05c12f56f9fa3c31b9f7,train
ISIC_0000009,,cluster:832648d21edc1e9a24b9,train
ISIC_0000010,,cluster:b64b933860718d2e0ca6,train
ISIC_0000011,,cluster:26c8be20a9761dbfa184,train
ISIC_0000012,,cluster:dc93e42dbd28e5ae4436,train
ISIC_0000013,,cluster:f9c3937712d193fd20ff,train
ISIC_0000014,,cluster:236a88f7d3ee80f40c24,test
ISIC_0000015,,cluster:56672875533e14991296,test
ISIC_0000016,,cluster:0ad8b89eb02cdfbba114,train
ISIC_0000017_downsampled,,cluster:b7ab159c132ce872c9aa,test
ISIC_0000018_downsampled,,cluster:665a731e233560f6c237,train
ISIC_0000019_downsampled,,cluster:bcc97e2287b8dfe0c66c,train
ISIC_0000020_downsampled,,cluster:19cdbb8f8d3fabe6c851,val
ISIC_0000021_downsampled,,cluster:96df2df695b5b807d1d9,train
ISIC_0000022_downsampled,,cluster:4d7f358a744a3aae823a,train
ISIC_0000023_downsampled,,cluster:690a5b979c0558bc918d,train
ISIC_0000024_downsampled,,cluster:e65fb72ccf0d5231c65e,test
ISIC_0000025_downsampled,,cluster:3e10b3279b664b9a0ab0,train
ISIC_0000026_downsampled,,cluster:a85d8046eff94401d985,val
ISIC_0000027_downsampled,,cluster:8dca5ae739f8a5090d52,train
ISIC_0000028_downsampled,,cluster:02fca978e03c7d2b822d,train
ISIC_0000029_downsampled,,cluster:0befb8e47fb3fb8b71dc,val
ISIC_0000030_downsampled,,cluster:fdb2271537db6be61293,train
ISIC_0000031_downsampled,,cluster:b90be4a43a44e2915692,train
ISIC_0000032_downsampled,,cluster:ae3606061699fb4c7dbe,train
ISIC_0000034_downsampled,,cluster:c395b7e590d6731f7c34,train
