image_id,cluster_id,policy_id,slate_size,a_head,a_exec,intervention_type,intervened,Uz_head,Uz_exec,delta_authority_i
ISIC_0000000,cluster:d70b2c24611556a45d24,bias_p000,4,a2,a1,down_substitution,True,-5.0,-2.5,-2.5
ISIC_0000001,cluster:ec1971795663ddaf67d3,bias_p000,4,a3,a2,down_substitution,True,-2.6999999999999997,-1.7999999999999998,-0.8999999999999999
ISIC_0000014,cluster:236a88f7d3ee80f40c24,bias_p000,4,a2,a2,none,False,-3.1463999999999994,-3.1463999999999994,0.0
ISIC_0000015,cluster:56672875533e14991296,bias_p000,4,a0,a0,none,False,0.0,0.0,0.0
ISIC_0000017_downsampled,cluster:b7ab159c132ce872c9aa,bias_p000,4,a3,a0,down_substitution,True,-4.719599999999999,0.0,-4.719599999999999
ISIC_0000024_downsampled,cluster:e65fb72ccf0d5231c65e,bias_p000,4,a2,a2,none,False,-2.88,-2.88,0.0
ISIC_0000041_downsampled,cluster:269ce51e6f4c714e7cd5,bias_p000,4,a0,a0,none,False,0.0,0.0,0.0
ISIC_0000058_downsampled,cluster:6d43e5cbc31ae65362db,bias_p000,4,a0,a0,none,False,0.0,0.0,0.0
ISIC_0000060_downsampled,cluster:2de99d4d28b3c7eb9fda,bias_p000,4,a0,a0,none,False,0.0,0.0,0.0
ISIC_0000071,cluster:a77a278e9e127e9d6961,bias_p000,4,a2,a2,none,False,-2.5875,-2.5875,0.0
ISIC_0000078_downsampled,cluster:68c9b9521032b3c40db4,bias_p000,4,a3,a0,down_substitution,True,0.0,-19.5,19.5
ISIC_0000080_downsampled,cluster:53079a49ba801eab6447,bias_p000,4,a3,a0,down_substitution,True,-2.949749999999999,0.0,-2.949749999999999
ISIC_0000101_downsampled,cluster:8cdd255d224af1327048,bias_p000,4,a3,a2,down_substitution,True,-3.8812499999999996,-2.5875,-1.2937499999999997
ISIC_0000103_downsampled,cluster:c18646a84839c6c14ada,bias_p000,4,a3,a0,down_substitution,True,-2.949749999999999,0.0,-2.949749999999999
ISIC_0000107_downsampled,cluster:7c540dc6eb09bb479feb,bias_p000,4,a3,a3,none,False,-2.25,-2.25,0.0
ISIC_0000108_downsampled,cluster:64b63da98d379ed50814,bias_p000,4,a3,a0,down_substitution,True,-2.6999999999999997,0.0,-2.6999999999999997
ISIC_0000111_downsampled,cluster:319ce01b18f536833af4,bias_p000,4,a3,a0,down_substitution,True,-2.6999999999999997,0.0,-2.6999999999999997
ISIC_0000115_downsampled,cluster:f210713bb249cde9154a,bias_p000,4,a2,a2,none,False,-1.7099999999999997,-1.7099999999999997,0.0
ISIC_0000123_downsampled,cluster:0278d4b0422d3c89058a,bias_p000,4,a3,a3,none,False,-2.1374999999999997,-2.1374999999999997,0.0
ISIC_0000128_downsampled,cluster:1561ce5d0105fc72b16e,bias_p000,4,a3,a3,none,False,-3.234375,-3.234375,0.0
ISIC_0000135_downsampled,cluster:6da321c9ea0d65021c12,bias_p000,4,a3,a0,down_substitution,True,-2.5649999999999995,0.0,-2.5649999999999995
ISIC_0000145_downsampled,cluster:41b597743a23c2f238aa,bias_p000,4,a3,a3,none,False,0.0,0.0,0.0
ISIC_0000154_downsampled,cluster:bd81ec2bbf4b12e00249,bias_p000,4,a0,a0,none,False,-18.0,-18.0,0.0
ISIC_0000157,cluster:af6f1eec0af4c547bb05,bias_p000,4,a3,a3,none,False,0.0,0.0,0.0
ISIC_0000159,cluster:1899d597b56864a66d79,bias_p000,4,a3,a2,down_substitution,True,0.0,-4.56,4.56
ISIC_0000182_downsampled,cluster:eadc2e2eac8863713f72,bias_p000,4,a3,a1,down_substitution,True,-5.699999999999999,-1.9,-3.7999999999999994
ISIC_0000185_downsampled,cluster:caca2337434512f57429,bias_p000,4,a0,a0,none,False,0.0,0.0,0.0
ISIC_0000190,cluster:c304ca9410f7c7b70c65,bias_p000,4,a3,a3,none,False,-3.375,-3.375,0.0
ISIC_0000197_downsampled,cluster:1fd9f5b9ff09e5830419,bias_p000,4,a0,a0,none,False,0.0,0.0,0.0
ISIC_0000200,cluster:37ffa541b04d553ced4b,bias_p000,4,a3,a3,none,False,-2.4581249999999994,-2.4581249999999994,0.0
ISIC_0000207_downsampled,cluster:93dcf48fce1585a58d64,bias_p000,4,a2,a2,none,False,-3.1463999999999994,-3.1463999999999994,0.0
ISIC_0000213,cluster:b79f55ac7c28d3350675,bias_p000,4,a3,a3,none,False,-2.4581249999999994,-2.4581249999999994,0.0
ISIC_0000220,cluster:0a3f277f5a8c23e6284b,bias_p000,4,a2,a2,none,False,-2.5875,-2.5875,0.0
ISIC_0000223,cluster:768ddec87b9b577ac148,bias_p000,4,a3,a0,down_substitution,True,-8.625,0.0,-8.625
ISIC_0000225,cluster:e34ccbf5f9b5cf24f9f7,bias_p000,4,a3,a1,down_substitution,True,-6.0,-2.0,-4.0
ISIC_0000228,cluster:b15efe755fc3d94cc007,bias_p000,4,a0,a0,none,False,0.0,0.0,0.0
ISIC_0000230,cluster:b4c6c24991b39e55fca4,bias_p000,4,a3,a2,down_substitution,True,-3.8812499999999996,-2.5875,-1.2937499999999997
ISIC_0000253,cluster:ba62da4eaf11936cfb56,bias_p000,4,a0,a0,none,False,0.0,0.0,0.0
ISIC_0000256,cluster:bb0d579bc17210d0c01a,bias_p000,4,a3,a0,down_substitution,True,-3.5397,0.0,-3.5397
ISIC_0000268,cluster:eaae543411cd899b46be,bias_p000,4,a2,a2,none,False,-2.88,-2.88,0.0
ISIC_0000271,cluster:95afc6e5db92aba84636,bias_p000,4,a3,a0,down_substitution,True,-4.719599999999999,0.0,-4.719599999999999
ISIC_0000274,cluster:fb459b344ad73ec73796,bias_p000,4,a3,a3,none,False,-2.94975,-2.94975,0.0
ISIC_0000281,cluster:ca2e6130a2d5d7ec1835,bias_p000,4,a3,a0,down_substitution,True,0.0,-20.52,20.52
ISIC_0000288,cluster:1cacf5b51850a90c1d2b,bias_p000,4,a3,a3,none,False,0.0,0.0,0.0
ISIC_0000290,cluster:26b8429ec78a4d030983,bias_p000,4,a3,a1,down_substitution,True,0.0,-13.0,13.0
ISIC_0000300,cluster:3a894162f6b0e2e3f9f3,bias_p000,4,a0,a0,none,False,-13.68,-13.68,0.0
ISIC_0000302,cluster:bffdd50cb897936b8ddf,bias_p000,4,a3,a3,none,False,0.0,0.0,0.0
ISIC_0000306,cluster:fe3829e5c1c0dacfb661,bias_p000,4,a0,a0,none,False,-20.52,-20.52,0.0
ISIC_0000319,cluster:f3cf2d2a8c032e924689,bias_p000,4,a0,a0,none,False,0.0,0.0,0.0
ISIC_0000322,cluster:60613dfed250f6f0a2cf,bias_p000,4,a0,a0,none,False,0.0,0.0,0.0
ISIC_0000329,cluster:dfda4fe765b9b76b77b5,bias_p000,4,a0,a0,none,False,0.0,0.0,0.0
ISIC_0000336,cluster:c675ccd76b5028df143c,bias_p000,4,a0,a0,none,False,0.0,0.0,0.0
ISIC_0000337,cluster:bb859c444c46f4fbbe09,bias_p000,4,a0,a0,none,False,0.0,0.0,0.0
ISIC_0000338,cluster:c022e0180b44257685f0,bias_p000,4,a0,a0,none,False,0.0,0.0,0.0
ISIC_0000346,cluster:22f1dac651ee9732b5a7,bias_p000,4,a0,a0,none,False,0.0,0.0,0.0
